timestamp,location_id,temperature_c,humidity,rainfall_mm,wind_speed,magnitude,depth_km,soil_type,soil_moisture,soil_density,liquefaction_risk,vibration,strain,load,fatigue_index,rolling_mean_vibration,rolling_std_vibration,rate_of_change_strain,cumulative_fatigue,seismic_impact,thermal_stress,soil_risk_index
2024-01-01 00:00:00,LOC_001,24.71,60.66,0.0,5.19,0.0,300.0,clay,0.4622,1633.91,0.4636,0.46296280565351583,2.9594424683082644e-05,48047.98197878537,0.0009583415435560539,0.46296280565351583,0.0,0.0,0.0009583415435560539,0.0,0.00029652000000000004,0.5739941499361935
2024-01-01 01:00:00,LOC_001,23.65,63.57,0.0,4.45,0.0,300.0,clay,0.4622,1633.91,0.4636,0.5572697305841917,3.3558532773850386e-05,54484.59648399432,0.0020450646512519045,0.5101162681188538,0.06668506613133157,3.964108090767742e-06,0.0030034061948079585,0.0,0.0002838,0.5739941499361935
2024-01-01 02:00:00,LOC_001,23.26,58.31,0.0,3.16,0.0,300.0,clay,0.4622,1633.91,0.4636,0.5453845559821842,3.80152325362315e-05,61720.64529714231,0.003276114448711772,0.5218723640732973,0.05136211053627253,4.456699762381116e-06,0.006279520643519731,0.0,0.00027912000000000005,0.5739941499361935
2024-01-01 03:00:00,LOC_001,21.83,62.93,0.0,0.71,0.0,300.0,clay,0.4622,1633.91,0.4636,0.4898700014942408,3.9508268919016065e-05,64145.80506004663,0.004555535296418409,0.5138717734285331,0.04488595253700056,1.4930363827845626e-06,0.010835055939938141,0.0,0.00026196,0.5739941499361935
2024-01-01 04:00:00,LOC_001,22.8,62.41,0.0,2.33,0.0,300.0,clay,0.4622,1633.91,0.4636,0.4723351483333358,4.1821485862170874e-05,67900.76425955367,0.005909850723398624,0.5055644484094937,0.043082708784675974,2.313216943154809e-06,0.016744906663336764,0.0,0.00027360000000000004,0.5739941499361935
2024-01-01 05:00:00,LOC_001,27.02,54.45,0.0,2.34,0.0,300.0,clay,0.4622,1633.91,0.4636,0.5655751143260644,4.6479205841176156e-05,75459.15045085615,0.007414922023800617,0.5155662260622554,0.0456629956778119,4.657719979005281e-06,0.024159828687137383,0.0,0.00032424,0.5739941499361935
2024-01-01 06:00:00,LOC_001,23.49,64.64,0.0,3.28,0.0,300.0,clay,0.4622,1633.91,0.4636,0.5659802153900515,4.29025932265257e-05,69655.45793337646,0.008804235712405677,0.5227682245376549,0.04583309342426584,-3.576612614650456e-06,0.03296406439954306,0.0,0.00028188,0.5739941499361935
2024-01-01 07:00:00,LOC_001,31.08,56.64,0.0,3.37,0.0,300.0,clay,0.4622,1633.91,0.4636,0.3855417047345068,4.350964266238031e-05,70634.61339400693,0.010213079156827252,0.5056149095622614,0.0644551480124504,6.070494358546098e-07,0.04317714355637031,0.0,0.00037296,0.5739941499361935
2024-01-01 08:00:00,LOC_001,29.22,54.76,0.0,4.35,0.0,300.0,clay,0.4622,1633.91,0.4636,0.4749850107128851,4.2639543380345246e-05,69223.61789765788,0.011593779575335295,0.5022115874678863,0.0611506439348441,-8.700992820350639e-07,0.054770923131705604,0.0,0.00035064,0.5739941499361935
2024-01-01 09:00:00,LOC_001,32.29,58.54,0.0,0.69,0.0,300.0,clay,0.4622,1633.91,0.4636,0.600213993932027,3.799511828462688e-05,61681.304742437955,0.012824044705336362,0.5120118281143002,0.0654550180867705,-4.644425095718363e-06,0.06759496783704197,0.0,0.00038748,0.5739941499361935
