timestamp,location_id,temperature_c,humidity,rainfall_mm,wind_speed,magnitude,depth_km,soil_type,soil_moisture,soil_density,liquefaction_risk
2024-01-01 00:00:00,LOC_001,24.71,60.66,0.0,5.19,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 01:00:00,LOC_001,23.65,63.57,0.0,4.45,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 02:00:00,LOC_001,23.26,58.31,0.0,3.16,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 03:00:00,LOC_001,21.83,62.93,0.0,0.71,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 04:00:00,LOC_001,22.8,62.41,0.0,2.33,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 05:00:00,LOC_001,27.02,54.45,0.0,2.34,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 06:00:00,LOC_001,23.49,64.64,0.0,3.28,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 07:00:00,LOC_001,31.08,56.64,0.0,3.37,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 08:00:00,LOC_001,29.22,54.76,0.0,4.35,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 09:00:00,LOC_001,32.29,58.54,0.0,0.69,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 10:00:00,LOC_001,32.51,51.96,0.0,4.64,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 11:00:00,LOC_001,30.61,65.77,0.0,6.96,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 12:00:00,LOC_001,29.64,59.25,0.0,5.2,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 13:00:00,LOC_001,33.36,50.9,0.0,4.94,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 14:00:00,LOC_001,32.09,57.84,0.0,4.84,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 15:00:00,LOC_001,29.3,67.89,0.0,7.41,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 16:00:00,LOC_001,24.79,68.87,0.0,5.34,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 17:00:00,LOC_001,28.96,64.51,0.0,3.09,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 18:00:00,LOC_001,26.43,56.63,0.0,1.36,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 19:00:00,LOC_001,26.17,60.75,0.0,4.95,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 20:00:00,LOC_001,23.95,65.89,0.0,6.58,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 21:00:00,LOC_001,21.41,59.15,0.0,3.75,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 22:00:00,LOC_001,23.72,53.63,0.0,1.12,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-01 23:00:00,LOC_001,25.19,54.35,0.0,4.86,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 00:00:00,LOC_001,26.5,57.83,0.0,3.05,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 01:00:00,LOC_001,20.18,63.07,0.0,4.92,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 02:00:00,LOC_001,23.45,54.73,0.0,1.98,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 03:00:00,LOC_001,19.59,52.31,0.0,1.37,1.04,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 04:00:00,LOC_001,27.15,55.35,0.0,4.84,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 05:00:00,LOC_001,28.32,56.47,0.0,3.2,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 06:00:00,LOC_001,29.68,64.99,0.0,2.4,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 07:00:00,LOC_001,26.45,53.66,0.0,6.13,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 08:00:00,LOC_001,32.33,54.69,0.0,5.0,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 09:00:00,LOC_001,30.7,52.51,0.0,8.8,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 10:00:00,LOC_001,31.95,51.93,0.0,3.39,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 11:00:00,LOC_001,34.73,64.02,0.0,6.26,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 12:00:00,LOC_001,32.05,64.73,0.0,6.99,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 13:00:00,LOC_001,34.98,51.89,0.0,6.08,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 14:00:00,LOC_001,28.77,51.18,0.0,2.44,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 15:00:00,LOC_001,30.53,65.81,0.0,9.34,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 16:00:00,LOC_001,31.07,55.65,0.35,5.58,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 17:00:00,LOC_001,27.15,57.6,0.0,1.07,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 18:00:00,LOC_001,26.75,60.55,0.0,1.7,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 19:00:00,LOC_001,27.07,58.83,0.0,3.95,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 20:00:00,LOC_001,23.02,76.18,0.0,1.15,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 21:00:00,LOC_001,25.43,67.01,0.0,3.29,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 22:00:00,LOC_001,25.1,63.41,0.0,7.31,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-02 23:00:00,LOC_001,22.52,48.35,0.0,2.47,1.34,298.24,clay,0.4622,1633.91,0.4636
2024-01-03 00:00:00,LOC_001,22.68,60.9,0.0,4.21,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-03 01:00:00,LOC_001,21.13,54.93,0.0,1.81,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-03 02:00:00,LOC_001,26.31,56.1,0.0,9.49,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-03 03:00:00,LOC_001,24.51,53.25,0.0,0.74,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-03 04:00:00,LOC_001,22.3,64.02,0.0,3.41,0.0,300.0,clay,0.4622,1633.91,0.4636
2024-01-03 05:00:00,LOC_001,25.99,59.49,0.0,0.98,0.0,300.0,clay,0.4622,1633.91,0.4636
